route,page_type,title,service,category,region,primary_keyword,secondary_keywords,meta_title,meta_description,canonical,robots_index,robots_follow,word_count,heading_h1,heading_h2_count,image_count,images_without_alt,internal_link_count,outbound_link_count,cta_text,cta_destination,schema_type,sitemap_included,rendering_method,revalidate_time,duplicate_title_risk,duplicate_content_risk,thin_content_risk,source_file
/,static_sitemap,홈,,,,,,홈,,https://www.restorystudio.co.kr/,true,true,0,홈,0,0,0,0,0,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,카카오톡 채널 또는 전화 연결(구성 파일 확인 필요),,true,Static/확인 필요,,확인 필요,확인 필요,높음/확인 필요,app/sitemap.ts
/repair/sangbujang,static_sitemap,/repair/sangbujang,,,,repair sangbujang,,/repair/sangbujang,,https://www.restorystudio.co.kr/repair/sangbujang,true,true,0,/repair/sangbujang,0,0,0,0,0,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,카카오톡 채널 또는 전화 연결(구성 파일 확인 필요),,true,Static/확인 필요,,확인 필요,확인 필요,높음/확인 필요,app/sitemap.ts
/kitchen/sink-door,static_sitemap,/kitchen/sink-door,,,,kitchen sink-door,,/kitchen/sink-door,,https://www.restorystudio.co.kr/kitchen/sink-door,true,true,0,/kitchen/sink-door,0,0,0,0,0,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,카카오톡 채널 또는 전화 연결(구성 파일 확인 필요),,true,Static/확인 필요,,확인 필요,확인 필요,높음/확인 필요,app/sitemap.ts
/leather/restaurant-chair,static_sitemap,/leather/restaurant-chair,,,,leather restaurant-chair,,/leather/restaurant-chair,,https://www.restorystudio.co.kr/leather/restaurant-chair,true,true,0,/leather/restaurant-chair,0,0,0,0,0,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,카카오톡 채널 또는 전화 연결(구성 파일 확인 필요),,true,Static/확인 필요,,확인 필요,확인 필요,높음/확인 필요,app/sitemap.ts
/leather/meeting-table,static_sitemap,/leather/meeting-table,,,,leather meeting-table,,/leather/meeting-table,,https://www.restorystudio.co.kr/leather/meeting-table,true,true,0,/leather/meeting-table,0,0,0,0,0,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,카카오톡 채널 또는 전화 연결(구성 파일 확인 필요),,true,Static/확인 필요,,확인 필요,확인 필요,높음/확인 필요,app/sitemap.ts
/sofa,static_sitemap,/sofa,,,,sofa,,/sofa,,https://www.restorystudio.co.kr/sofa,true,true,0,/sofa,0,0,0,0,0,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,카카오톡 채널 또는 전화 연결(구성 파일 확인 필요),,true,Static/확인 필요,,확인 필요,확인 필요,높음/확인 필요,app/sitemap.ts
/cases,static_sitemap,/cases,,,,cases,,/cases,,https://www.restorystudio.co.kr/cases,true,true,0,/cases,0,0,0,0,0,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,카카오톡 채널 또는 전화 연결(구성 파일 확인 필요),,true,Static/확인 필요,,확인 필요,확인 필요,높음/확인 필요,app/sitemap.ts
/events,static_sitemap,/events,,,,events,,/events,,https://www.restorystudio.co.kr/events,true,true,0,/events,0,0,0,0,0,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,카카오톡 채널 또는 전화 연결(구성 파일 확인 필요),,true,Static/확인 필요,,확인 필요,확인 필요,높음/확인 필요,app/sitemap.ts
/repair/habujang,static_sitemap,/repair/habujang,,,,repair habujang,,/repair/habujang,,https://www.restorystudio.co.kr/repair/habujang,true,true,0,/repair/habujang,0,0,0,0,0,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,카카오톡 채널 또는 전화 연결(구성 파일 확인 필요),,true,Static/확인 필요,,확인 필요,확인 필요,높음/확인 필요,app/sitemap.ts
/repair/hinge,static_sitemap,/repair/hinge,,,,repair hinge,,/repair/hinge,,https://www.restorystudio.co.kr/repair/hinge,true,true,0,/repair/hinge,0,0,0,0,0,사진 보내주시면 먼저 상태를 확인해드리겠습니다.,카카오톡 채널 또는 전화 연결(구성 파일 확인 필요),,true,Static/확인 필요,,확인 필요,확인 필요,높음/확인 필요,app/sitemap.ts
